epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.675,1.39281,2.06955,1.66315,0.39737,0.26196,0.26194,0.11499,2.00588,6.73944,2.19594,0.000475635,0.000475635,0.000475635
2,430.552,1.45003,1.80983,1.71363,0.39725,0.24656,0.24389,0.1115,2.08555,7.75247,2.32966,0.00091427,0.00091427,0.00091427
3,635.738,1.43612,1.76646,1.71648,0.49188,0.28261,0.32075,0.16705,1.94288,6.66808,2.12922,0.00131518,0.00131518,0.00131518
4,839.534,1.38965,1.66198,1.6701,0.46934,0.30568,0.33804,0.17174,1.8461,5.91503,2.08603,0.00125923,0.00125923,0.00125923
5,1056.18,1.34019,1.58488,1.63472,0.48699,0.33478,0.35804,0.1992,1.78939,8.01461,1.99286,0.00120265,0.00120265,0.00120265
6,1268.62,1.29472,1.49451,1.58966,0.47519,0.31273,0.35465,0.17877,1.87651,6.58601,2.12441,0.00114606,0.00114606,0.00114606
7,1478.27,1.25968,1.44149,1.5613,0.88632,0.35874,0.42757,0.25948,1.58491,4.33207,1.7965,0.00108947,0.00108947,0.00108947
8,1684.51,1.2269,1.36518,1.53982,0.87421,0.38499,0.44116,0.26673,1.58734,7.53966,1.79191,0.00103288,0.00103288,0.00103288
9,1893.73,1.20795,1.33278,1.52297,0.85475,0.37234,0.428,0.26701,1.50416,6.40376,1.70338,0.000976293,0.000976293,0.000976293
10,2100.51,1.17706,1.28257,1.501,0.90133,0.39551,0.44983,0.27922,1.50268,5.48015,1.68803,0.000919704,0.000919704,0.000919704
11,2306.88,1.16635,1.24752,1.49245,0.91076,0.38538,0.44158,0.27956,1.53717,5.47523,1.7199,0.000863116,0.000863116,0.000863116
12,2514.23,1.14609,1.21697,1.47618,0.92545,0.39753,0.46414,0.29464,1.45485,4.10114,1.64393,0.000806528,0.000806528,0.000806528
13,2725.84,1.12057,1.17218,1.46015,0.88489,0.42696,0.48041,0.31361,1.4777,6.43924,1.64577,0.000749939,0.000749939,0.000749939
14,2941,1.10605,1.16448,1.44443,0.87872,0.40659,0.46647,0.30324,1.47907,7.04623,1.63482,0.000693351,0.000693351,0.000693351
15,3154.82,1.09145,1.13137,1.4339,0.9034,0.41871,0.48508,0.31895,1.41481,6.58388,1.58969,0.000636762,0.000636762,0.000636762
16,3367.71,1.06441,0.91671,1.49639,0.90618,0.42878,0.49659,0.33301,1.41125,4.2932,1.54361,0.000580174,0.000580174,0.000580174
17,3584.53,1.03271,0.85045,1.47035,0.89243,0.43204,0.4846,0.32876,1.43144,6.07582,1.59038,0.000523586,0.000523586,0.000523586
18,3793.05,0.99781,0.81621,1.43796,0.88917,0.44128,0.49432,0.33745,1.42837,4.94381,1.55981,0.000466997,0.000466997,0.000466997
19,3995.6,0.97276,0.77496,1.41636,0.898,0.45409,0.50911,0.34876,1.41832,5.2425,1.54885,0.000410409,0.000410409,0.000410409
20,4200.74,0.95431,0.74429,1.40359,0.87758,0.46098,0.50505,0.34567,1.3484,6.2546,1.52499,0.00035382,0.00035382,0.00035382
21,4405.32,0.93261,0.71525,1.38371,0.88925,0.4502,0.50736,0.34602,1.37673,4.78545,1.53696,0.000297232,0.000297232,0.000297232
22,4607.07,0.90982,0.68903,1.36064,0.91739,0.44545,0.51134,0.35508,1.37934,4.71058,1.54154,0.000240644,0.000240644,0.000240644
23,4811.32,0.88723,0.66761,1.34503,0.87831,0.46226,0.51338,0.35512,1.3861,4.71664,1.54085,0.000184055,0.000184055,0.000184055
24,5014.87,0.87056,0.63916,1.32834,0.8975,0.45429,0.50814,0.35186,1.37868,4.90593,1.53988,0.000127467,0.000127467,0.000127467
25,5218.37,0.85268,0.61429,1.3126,0.89252,0.46456,0.51533,0.35945,1.39746,4.93938,1.54598,7.08784e-05,7.08784e-05,7.08784e-05
